Cultivar,Ammonium,BA,Productivity
1,5,1.78,38.24
1,20.61,1.78,34.83
1,5,0.88,33.15
1,5,1.78,47.14
1,5,2.66,58.61
1,5,3.55,62.22
1,5,4.44,79.25
1,5,0.88,42.86
1,5,1.78,42.33
1,5,2.66,50.22
1,5,3.55,53.67
1,5,4.44,55.6
1,9.99,1.78,34.72
1,2.3,1.78,38.86
2,5,1.78,61.37
2,20.61,1.78,38.58
2,5,0.88,24.86
2,5,1.78,72.54
2,5,2.66,47.82
2,5,3.55,41.97
2,5,4.44,49.2
2,5,0.88,27.28
2,5,1.78,58.54
2,5,2.66,58.32
2,5,3.55,64.53
2,5,4.44,62.5
2,9.99,0.88,40.11
2,9.99,1.78,58.23
2,9.99,2.66,88.06
2,9.99,3.55,89.78
2,9.99,4.44,72.66
2,2.3,1.78,34.69
3,5,1.78,22.92
3,20.61,1.78,0
3,5,1.78,19.09
3,5,1.78,18.83
3,9.99,0.88,25.56
3,9.99,1.78,22.26
3,9.99,2.66,22.78
3,9.99,3.55,28
3,9.99,4.44,30.03
3,2.3,1.78,17.18
4,5,1.78,38.68
4,20.61,1.78,32.01
4,5,1.78,30.92
4,5,1.78,40.26
4,9.99,0.88,27.47
4,9.99,1.78,40.49
4,9.99,2.66,23.47
4,9.99,3.55,26.16
4,9.99,4.44,23.55
4,2.3,0.88,18.67
4,2.3,1.78,43.5
4,2.3,2.66,22.67
4,2.3,3.55,21.03
4,2.3,4.44,28.6
5,5,1.78,20.17
5,20.61,1.78,21.52
5,5,1.78,36.88
5,5,1.78,24.27
5,9.99,1.78,37.67
5,2.3,1.78,20.71
